Vấn đề chắc sẽ có ý nghĩa như những thay đổi khắc phục trước khi đội tàu con thoi bắt đầu bay lại.	Ông ta cho biết những vấn đề cần được sửa chửa trước khi hạm đội tàu con thoi sạch được bay lần nữa.	4.4
Chỉ số hỗn hợp Nasdaq IXIC được kết hợp với công nghệ dần nhích xuống 1 điểm,tương đương 0.11% xuống 1,650.	Chỉ số Standard & Poor's 500 rộng .SPX nhích lên 3 điểm, tương đương 0,32%, lên 970.	0.8
"""Đó là một con mắt đen khổng lồ,"" nhà xuất bản Arthur Ochs Sulzberger Jr. nói, gia đình ông đã kiểm soát tờ báo này kể từ năm 1896."	"""Đó là một con mắt đen,"" Arthur Sulzberger, nhà xuất bản của tờ báo, nói về scandal."	3.6
"Ông William Donaldson,Chủ tịch Uỷ ban Giao dịch Chứng khoán, nói có một ""xây dựng lòng tin rằng cảnh sát ở ngoài kia đang làm nhiệm vụ."""	"""I think there's a building confidence that the cop is on the beat."""	3.4
Cổ phiếu đóng cửa ở mức 1.9% Vivendi tương đương 15.80 tại euro ở Paris sau khi giảm 3.6% vào ngày thứ Hai.	Tại New York, cổ phiếu Vivendi là 1,4 phần trăm xuống $ 18,29.	1.4
Nhà lãnh đạo đảng dân chủ Myanmar Aung San Suu Kyi sẽ trở về nhà cuối ngày thứ sáu nhưng sẽ vẫn giữ được giữ lại sau khi phục hồi sau phẫu thuật tại một bệnh viện Yangon, bác sĩ riêng của cô ấy đã nói.	lãnh đạo ủng hộ dân chủ của Myanmar Aung San Suu Kyi sẽ được giữ quản thúc tại gia sau được thả ra khỏi một bệnh viện nơi cô đã trải qua phẫu thuật, bác sĩ riêng của cô cho biết hôm thứ Sáu.	4.6
Darren Dopp, một người phát ngôn của Spitzer, đã từ chối bình luận vào ngày thứ Năm gần đây.	John Heine, phát ngôn viên của ủy ban ở Washington, từ chối bình luận về ông Spitzer là chỉ trích.	1.4
Bremer cho biết một sáng kiến là triển khai chương trình trên toàn quốc trị giá  70 triệu đô la Mỹ  trong hai tuần tới để dọn dẹp các khu phố và xây dựng các dự án cộng đồng.	Bremer nói ông ấy sẽ phát động một chương trình $70 triệu trong vòng 2 tuần để dọn sạch khu qua Iraq và các dự án xây dựng cộng đồng, nhưng không đưa ra chi tiết.	3.6
Bremer cho biết một sáng kiến là triển khai chương trình trên toàn quốc trị giá  70 triệu đô la Mỹ  trong hai tuần tới để dọn dẹp các khu phố và xây dựng các dự án cộng đồng.	Bremer nói ông ấy sẽ phát động một chương trình $70 triệu trong vòng 2 tuần để dọn sạch khu qua Iraq và các dự án xây dựng cộng đồng, nhưng không đưa ra chi tiết.	3.6
Trong phiên giao dịch buổi chiều tại châu Âu, chỉ số CAC-40 của Pháp đã tăng giá và chỉ số FTSE 100 của Anh tăng 0,7% cho mỗi phiếu, trong khi chỉ số DAX của Đức tăng 0,6%.	Ở Châu Âu, chỉ số Cac-40 tăng 1,3%, chỉ số FTSE 100 của nước Anh giảm 0,2% và Đức chỉ số Dax tại Frankfurt đạt được 0.6 phần trăm.	2
