Nhà bán_lẻ cho biết họ đã đi đến quyết_định sau khi nghe ý_kiến của khách_hàng và cộng_sự	Việc đi đến quyết_định sau khi lắng_nghe các khách_hàng và những đối_tác , Melissa_Berryhill , nữ_phát_ngôn của WalMart đã nói	3.2
Máy A920 đi kèm với máy_in , máy_quét và máy photocopy với giá 89 đô_la	của Dell cá_nhân AllinOne_A920 là một thiết_bị entrylevel kết_hợp chức_năng máy_in , máy_quét và máy_photocopy với $ 89	3.6
Cảnh_sát sau đó đã gọi một đội phá dỡ bom_mìn , nhưng thiết_bị đã phát_nổ và giết chết Wells trước khi các kỹ_thuật_viên bom đến	Trong khi đợi một quả bom_tiếu đôi để đến , quả bom phát_nổ , giết chết Wells	4.0
Ông nói rằng các chính_phủ châu_Âu đã chặn tất_cả các loại cây_trồng sinh_học mới vì những lo_ngại vô căn_cứ , không khoa_học	Họ đã ngăn_chặn hoàn_toàn phụ_trách chương_trình sinh_học của cây_trồng mới vì cương_quyết ko nhận , không khoa_học Bush nói	3.2
Microsoft đã xác_định phần_mềm Linux được phân_phối tự_do là một trong những mối đe_dọa lớn nhất đối_với doanh_số của hãng	Công_ty đã công_khai xác_định Linux như là một trong những mối đe dọa cạnh_tranh lớn nhất	3.4
Các bác_sĩ đã suy_đoán rằng estrogen của chính cơ_thể bảo_vệ chống lại tổn_thương tế_bào và cải_thiện lưu_lượng máu	Niềm tin của họ được dựa vào suy_đoán rằng étxtrôgien tế_bào có_thể ngăn_ngừa được thiệt_hại và có_thể cải_thiện lưu_lượng máu	4.25
Các ADR đã giảm từ 10 xu xuống còn 28,95 đô_la lúc 1006 sáng tại sàn giao_dịch chứng_khoán New_York hôm_nay	Cổ_phiếu của giải_trí Fox_Inc , Tin_tức Corp là phương_tiện truyền_thông Hoa_kỳ và cánh_tay giải_trí , đã giảm xuống 45 xu để $ 2685 trong giao_dịch chứng_khoán New_York giao_dịch tổng_hợp	1.4
Với việc có điện trở_lại , công_nhân nhà_nước đã quay trở_lại công_việc vào sáng thứ_Sáu	Pataki nói nếu điện đã được phục_hồi , công_nhân nhà_nước sẽ trở_lại công_việc vào sáng thứ_Sáu	2.6
Hubbard , một thành_viên của Ủy_ban điều_tra tai_nạn Columbia cho biết Điều này khiến chúng_ta tiến gần hơn rất nhiều khi nói rằng bọt có_thể gây ra loại thiệt_hại này	Tôi nghĩ rằng đây di_chuyển chúng_tôi rất nhiều gần hơn về phía nói rằng bọt là một loại thiệt_hại , Hubbard nói	3.6
Cảnh_sát Anh đã bắt_giữ 21 người vào đầu ngày thứ_ba liên_quan đến vụ giết người theo nghi_thức nghi_ngờ của một cậu bé châu_Phi có thi_thể được tìm thấy ở sông Thames	Cảnh_sát đã bắt_giữ 21 người liên_quan đến vụ sát_hại một thanh_niên người Nigeria , đứa bé cử được và limbless_thân mình được tìm thấy khi đang trôi_giạt ở sông Thames	3.5
